sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:row_number,ADD_INFO:dataset,ADD_INFO:variable_name,ADD_INFO:description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
2,No-never,101,,138,ppdataset_clean.csv,cryn2,9f. I have been so unhappy that I have been crying,0.56,APPROVED,EQUAL,Reinp,1720131492946,45880857,"No, never",Meas Value,MAPS_TO,,Reinp,1720131484253,
3,No-not much,42,,124,ppdataset_clean.csv,scrd2,5f. I have felt scared or panicky for no good reason,0.45,APPROVED,EQUAL,Reinp,1720127424111,45879389,"No, not much",Meas Value,MAPS_TO,,Reinp,1720127416553,
5,Yes-quite often,6,,100,ppdataset_clean.csv,hrmg1,10b. The thought of harming myself has occurred to me,0.56,APPROVED,EQUAL,Reinp,1720049405101,45879391,"Yes, quite often",Meas Value,MAPS_TO,,Reinp,1720049393763,
4,Yes-sometimes,21,,125,ppdataset_clean.csv,scrd2,5f. I have felt scared or panicky for no good reason,0.56,APPROVED,EQUAL,Reinp,1720127359660,45879997,"Yes, sometimes",Meas Value,MAPS_TO,,Reinp,1720127353601,
1,partner helping with cooking,74,,48,ppdataset_clean.csv,ckn,partner helping with cooking,0.56,UNCHECKED,UNREVIEWED,,0,4268888,Needs help with cooking,Observation,MAPS_TO,,<auto>,1720045739571,
3,Only occasionally,56,,139,ppdataset_clean.csv,cryn2,9f. I have been so unhappy that I have been crying,1.00,APPROVED,EQUAL,Reinp,1720130814206,45885326,Only occasionally,Meas Value,MAPS_TO,,<auto>,1720045739602,
5,Yes-quite a lot,3,,126,ppdataset_clean.csv,scrd2,5f. I have felt scared or panicky for no good reason,0.56,APPROVED,EQUAL,Reinp,1720127401532,45885324,"Yes, quite a lot",Meas Value,MAPS_TO,,Reinp,1720127391120,
1,number of previous miscarriages,0,,24,ppdataset_clean.csv,msc,number of previous miscarriages,0.90,UNCHECKED,UNREVIEWED,,0,4076096,Number of previous marriages,Observation,MAPS_TO,,<auto>,1720045741293,
1,9b. I have been so unhappy that I have been crying,0,,86,ppdataset_clean.csv,cryn1,9b. I have been so unhappy that I have been crying,0.61,APPROVED,EQUAL,Reinp,1720046236292,42870294,I have been so unhappy that I have been crying in the past 7 days [EPDS],Observation,MAPS_TO,,<auto>,1720045742019,
4,Definitely less than I used to,8,,110,ppdataset_clean.csv,enjy2,2f. I have looked forward with enjoyment to things,1.00,APPROVED,EQUAL,Reinp,1720096646751,45880856,Definitely less than I used to,Meas Value,MAPS_TO,,<auto>,1720045742312,
