2025-05-11 09:08:22	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m──────────────────────────────────────────────────────────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m,   severity = [31mcol_character()[39m ) 
2025-05-11 09:08:22	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN, DRUG_STRENGTH
2025-05-11 09:08:22	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2025-05-11 09:08:22	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2025-05-11 09:08:22	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2025-05-11 09:08:22	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2025-05-11 09:08:22	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2025-05-11 09:08:24	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: cdmTable] [CDM Table: COHORT] [CDM Field: NA] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "results_study_8_cdm_r.cohort" does not exist   Position: 434 An error report has been created at  D:/APHRC/OMOP-CDM/OMOP_ETL_Work/Staging_DB_to_OMOP/script_and_data/Output/Data Quality Dashboard/study_8_cdm_r/errors/TABLE_cdmTable_COHORT_NA.txt
2025-05-11 09:08:24	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: cdmTable] [CDM Table: COHORT_DEFINITION] [CDM Field: NA] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "results_study_8_cdm_r.cohort_definition" does not exist   Position: 434 An error report has been created at  D:/APHRC/OMOP-CDM/OMOP_ETL_Work/Staging_DB_to_OMOP/script_and_data/Output/Data Quality Dashboard/study_8_cdm_r/errors/TABLE_cdmTable_COHORT_DEFINITION_NA.txt
2025-05-11 09:08:24	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2025-05-11 09:08:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2025-05-11 09:08:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2025-05-11 09:08:25	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: COHORT] [CDM Field: COHORT_DEFINITION_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "results_study_8_cdm_r.cohort" does not exist   Position: 426 An error report has been created at  D:/APHRC/OMOP-CDM/OMOP_ETL_Work/Staging_DB_to_OMOP/script_and_data/Output/Data Quality Dashboard/study_8_cdm_r/errors/FIELD_cdmField_COHORT_COHORT_DEFINITION_ID.txt
